Label (Grouping),"Atlantic County, New Jersey!!Estimate","Bergen County, New Jersey!!Estimate","Burlington County, New Jersey!!Estimate","Camden County, New Jersey!!Estimate","Cape May County, New Jersey!!Estimate","Cumberland County, New Jersey!!Estimate","Essex County, New Jersey!!Estimate","Gloucester County, New Jersey!!Estimate","Hudson County, New Jersey!!Estimate","Hunterdon County, New Jersey!!Estimate","Mercer County, New Jersey!!Estimate","Middlesex County, New Jersey!!Estimate","Monmouth County, New Jersey!!Estimate","Morris County, New Jersey!!Estimate","Ocean County, New Jersey!!Estimate","Passaic County, New Jersey!!Estimate","Salem County, New Jersey!!Estimate","Somerset County, New Jersey!!Estimate","Sussex County, New Jersey!!Estimate","Union County, New Jersey!!Estimate","Warren County, New Jersey!!Estimate"
    Total households,"101,103","342,059","168,195","190,660","40,670","50,947","290,680","106,376","261,289","47,647","131,440","287,971","238,235","184,162","229,454","168,681","24,414","119,721","54,166","191,862","42,322"
        High school graduate (includes equivalency),"59,531","144,267","88,200","103,229","22,409","39,546","150,173","64,570","117,550","18,384","63,046","139,729","99,354","66,295","138,103","112,680","16,967","44,899","30,877","106,748","23,296"
        Bachelor's degree,"34,403","203,933","78,710","69,890","15,077","11,307","114,298","45,734","127,136","28,619","57,526","150,370","125,760","112,546","85,386","66,762","6,396","69,810","24,641","84,189","17,657"
        Native,"221,535","644,627","400,954","450,080","88,584","135,294","577,848","276,132","379,172","112,333","283,311","553,603","536,978","396,365","555,557","341,342","60,524","244,726","130,066","387,845","95,670"
        Foreign born,"43,115","286,648","45,347","56,641","4,117","14,791","220,850","15,613","292,751","12,730","84,774","271,412","83,843","96,350","46,461","161,421","2,230","85,425","10,930","167,363","10,060"
        Naturalized U.S. citizen,"24,371","184,973","30,176","33,443","2,087","5,558","120,009","10,207","145,202","7,674","41,256","158,220","54,303","58,523","30,474","89,286","1,388","52,116","7,947","90,016","6,536"
        Not a U.S. citizen,"18,744","101,675","15,171","23,198","2,030","9,233","100,841","5,406","147,549","5,056","43,518","113,192","29,540","37,827","15,987","72,135",842,"33,309","2,983","77,347","3,524"
