Label (Grouping),"Atlantic County, New Jersey!!Estimate","Bergen County, New Jersey!!Estimate","Burlington County, New Jersey!!Estimate","Camden County, New Jersey!!Estimate","Cape May County, New Jersey!!Estimate","Cumberland County, New Jersey!!Estimate","Essex County, New Jersey!!Estimate","Gloucester County, New Jersey!!Estimate","Hudson County, New Jersey!!Estimate","Hunterdon County, New Jersey!!Estimate","Mercer County, New Jersey!!Estimate","Middlesex County, New Jersey!!Estimate","Monmouth County, New Jersey!!Estimate","Morris County, New Jersey!!Estimate","Ocean County, New Jersey!!Estimate","Passaic County, New Jersey!!Estimate","Salem County, New Jersey!!Estimate","Somerset County, New Jersey!!Estimate","Sussex County, New Jersey!!Estimate","Union County, New Jersey!!Estimate","Warren County, New Jersey!!Estimate"
    Total population,"274,402","906,781","449,117","513,660","96,987","156,864","783,840","288,187","636,194","127,996","366,442","811,064","629,263","493,472","575,961","500,168","66,007","323,650","148,962","536,383","108,488"
    Male,"133,243","437,214","220,812","247,930","47,267","80,801","375,925","139,890","314,989","63,852","179,071","398,362","306,128","241,638","276,133","242,949","32,058","157,862","74,120","260,183","52,762"
    Female,"141,159","469,567","228,305","265,730","49,720","76,063","407,915","148,297","321,205","64,144","187,371","412,702","323,135","251,834","299,828","257,219","33,949","165,788","74,842","276,200","55,726"
    65 years and over,"39,305","138,024","62,749","66,426","21,113","19,936","91,206","36,102","66,555","16,607","46,780","100,634","87,571","68,781","121,620","60,861","10,036","40,676","17,929","68,030","15,149"
    Hispanic or Latino (of any race),"46,303","146,451","29,225","73,288","5,975","42,250","159,546","13,801","268,575","6,799","55,297","149,204","60,432","56,653","47,476","185,476","4,510","41,986","9,682","147,010","7,741"
        White alone,"160,449","565,170","316,918","309,269","84,300","78,947","262,029","233,131","194,810","112,173","199,493","398,992","483,862","369,189","494,683","226,183","50,557","201,972","132,081","242,046","92,570"
        Black or African American alone,"41,207","46,744","70,614","92,997","4,493","29,411","308,196","27,841","72,299","3,225","71,618","71,921","43,599","14,583","16,708","56,037","9,207","27,315","2,697","110,667","3,886"
        Asian alone,"20,610","131,993","19,661","26,169",925,"2,018","35,985","7,603","85,231","4,091","32,945","176,017","31,767","44,800","9,866","25,355",648,"46,030","2,641","24,449","2,641"
        Two or more races,"4,317","12,389","10,894","9,831","1,014","3,113","11,038","4,869","9,523","1,174","4,983","11,635","8,173","5,995","6,135","4,224",911,"4,973","1,401","5,156","1,331"
